position_id,title,salary_scale,establishment,section,reports_to,council_type
ENG-QSURV-ASST,Assistant Quantity Surveyor,LGSS10,4,Quantity Surveying Unit,ENG-QSURV07,City
ENG-ARCH-CHIEF,Chief Architect,LGSS06,1,Architecture Unit,ENG-CONSTR-ASSTDIR,City
ENG-ARCH07,Architect,LGSS07,5,Architecture Unit,ENG-ARCH-CHIEF,City
ENG-ARCH-ASST,Assistant Architect,LGSS10,5,Architecture Unit,ENG-ARCH07,City
ENG-ARCH-DRAFT,Draughtsman,LGSS15,2,Architecture Unit,ENG-ARCH07,City
ENG-MAINT-SUPT,Maintenance Superintendent,LGSS10,1,Maintenance Unit,ENG-CONSTR-ASSTDIR,City
ENG-MAINT-ASSTSUPT,Assistant Superintendent,LGSS13,1,Maintenance Unit,ENG-MAINT-SUPT,City
ENG-MAINT-ASSTSUPT2,Assistant Superintendent,LGSS12,1,Maintenance Unit,ENG-MAINT-SUPT,City
ENG-MAINT-FOREMAN,Foreman,LGSS14,2,Maintenance Unit,ENG-MAINT-SUPT,City
ENG-MAINT-PLUM,Plumber,LGSS15,3,Maintenance Unit,ENG-MAINT-FOREMAN,City
ENG-MAINT-BRICK,Bricklayer,LGSS15,3,Maintenance Unit,ENG-MAINT-FOREMAN,City
ENG-MAINT-CARP,Carpenter,LGSS15,2,Maintenance Unit,ENG-MAINT-FOREMAN,City
ENG-MAINT-PAINT,Painter,LGSS15,2,Maintenance Unit,ENG-MAINT-FOREMAN,City
ENG-MAINT-GENWORK,General Worker,G3,6,Maintenance Unit,ENG-MAINT-FOREMAN,City
ENG-PARK-MGR,Parks & Gardens Manager,LGSS07,1,Parks & Gardens Unit,ENG-DIR,City
ENG-PARK-SUPT,Superintendent,LGSS12,1,Parks & Gardens Unit,ENG-PARK-MGR,City
ENG-PARK-ASSTSUPT,Assistant Superintendent,LGSS13,2,Parks & Gardens Unit,ENG-PARK-SUPT,City
ENG-PARK-FOREMAN,Parks Foreman,LGSS14,4,Parks & Gardens Unit,ENG-PARK-SUPT,City
ENG-PARK-SUP,Parks Supervisor,LGSS15,4,Parks & Gardens Unit,ENG-PARK-FOREMAN,City
ENG-PARK-ASSTFORE,Assistant Parks Foreman,LGSS17,4,Parks & Gardens Unit,ENG-PARK-FOREMAN,City
ENG-PARK-WORK,General Worker,G1,7,Parks & Gardens Unit,ENG-PARK-SUP,City
ENG-MECH-CHIEF,Chief Mechanical Engineer,LGSS06,1,Mechanical Services Unit,ENG-DIR,City
ENG-MECH07,Mechanical Engineer,LGSS07,1,Mechanical Services Unit,ENG-MECH-CHIEF,City
ENG-MECH-ASST,Assistant Mechanical Engineer,LGSS10,2,Mechanical Services Unit,ENG-MECH07,City
ENG-MECH-SUPT,Superintendent,LGSS12,1,Mechanical Services Unit,ENG-MECH07,City
ENG-MECH-ASSTSUPT,Assistant Superintendent,LGSS13,2,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-MECH-ASSIST,Engineering Assistant,LGSS14,1,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-MECH-AUTO,Auto Electrician,LGSS14,1,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-MECH-TECH,Mechanic,LGSS14,14,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-MECH-FOREMAN,Foreman,LGSS14,1,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-MECH-ASSTFORE,Assistant Foreman,LGSS17,1,Mechanical Services Unit,ENG-MECH-FOREMAN,City
ENG-MECH-PLANT,Plant Operator,LGSS14,6,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-MECH-HANDY,Mechanical Handyman,LGSS18,3,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-MECH-WELDER,Welder,LGSS14,3,Mechanical Services Unit,ENG-MECH-SUPT,City
ENG-FIRE-CHIEF,Chief Fire Officer,LGSS06,1,Fire & Rescue Services Unit,ENG-DIR,City
ENG-FIRE-DEPUTY,Deputy Chief Fire Officer,LGSS07,2,Fire & Rescue Services Unit,ENG-FIRE-CHIEF,City
ENG-FIRE-DIV,Divisional Fire Officer,LGSS09,2,Fire & Rescue Services Unit,ENG-FIRE-DEPUTY,City
ENG-FIRE-ASSTDIV,Assistant Divisional Fire Officer,LGSS10,2,Fire & Rescue Services Unit,ENG-FIRE-DIV,City
ENG-FIRE-STN,Station Fire Officer,LGSS11,4,Fire & Rescue Services Unit,ENG-FIRE-DIV,City
ENG-FIRE-SUB,Sub-Officer,LGSS12,6,Fire & Rescue Services Unit,ENG-FIRE-STN,City
ENG-FIRE-LEAD,Leading Firefighter,LGSS13,4,Fire & Rescue Services Unit,ENG-FIRE-SUB,City
ENG-FIRE,Fire Fighter,LGSS14,52,Fire & Rescue Services Unit,ENG-FIRE-LEAD,City
ENG-FIRE-DRV,Fire Fighter Driver,LGSS14,6,Fire & Rescue Services Unit,ENG-FIRE-LEAD,City
ENG-WATSAN-COORD,Rural Water and Sanitation Coordinator,LGSS06,1,Rural Water & Sanitation Unit,ENG-DIR,City
ENG-WATSAN-ENG,Rural Water and Sanitation Engineer,LGSS07,2,Rural Water & Sanitation Unit,ENG-WATSAN-COORD,City
